,Date,Open,High,Low,Close,Volume,Adj Close
287,2015-04-21,20270,20460,20230,20460,465474,20460
288,2015-04-20,20090,20280,20030,20170,356353,20170
289,2015-04-17,20360,20370,20190,20220,566740,20220
290,2015-04-16,20400,20450,20290,20430,461289,20430
291,2015-04-15,20400,20470,20380,20410,341124,20410
292,2015-04-14,20370,20480,20370,20450,248581,20450
293,2015-04-13,20510,20540,20370,20460,280818,20460
294,2015-04-10,20540,20560,20390,20490,704507,20490
295,2015-04-09,20390,20500,20370,20470,543950,20470
296,2015-04-08,20270,20400,20230,20330,840757,20330
297,2015-04-07,20070,20220,20040,20170,825248,20170
298,2015-04-06,19820,19970,19770,19920,314569,19920
299,2015-04-03,19850,19970,19830,19970,386648,19970
300,2015-04-02,19650,19960,19640,19840,818907,19840
301,2015-04-01,19720,19740,19450,19590,1582151,19590
302,2015-03-31,20130,20150,19800,19810,493713,19810
303,2015-03-30,19830,20020,19760,19960,430275,19960
304,2015-03-27,19920,20150,19620,19820,981565,19820
305,2015-03-26,20060,20070,19830,19910,718121,19910
306,2015-03-25,20170,20220,19970,20200,410174,20200
307,2015-03-24,20160,20210,20080,20160,381376,20160
308,2015-03-23,20090,20220,20070,20210,379955,20210
309,2015-03-20,19940,20000,19840,20000,474393,20000
310,2015-03-19,19930,20000,19740,19930,754173,19930
311,2015-03-18,19850,20000,19820,19990,451918,19990
312,2015-03-17,19830,19920,19800,19890,474841,19890
313,2015-03-16,19660,19780,19640,19670,434711,19670
314,2015-03-13,19560,19750,19530,19680,1212897,19680
315,2015-03-12,19200,19430,19180,19400,515589,19400
316,2015-03-11,18990,19250,18980,19140,526288,19140
317,2015-03-10,19320,19340,18980,19080,730024,19080
318,2015-03-09,19300,19310,19150,19220,786307,19220
319,2015-03-06,19240,19400,19230,19390,559240,19390
320,2015-03-05,19090,19180,19060,19170,339659,19170
321,2015-03-04,19130,19150,19000,19120,306481,19120
322,2015-03-03,19330,19330,19140,19230,443600,19230
323,2015-03-02,19280,19400,19190,19220,621616,19220
324,2015-02-27,19260,19280,19130,19220,363266,19220
325,2015-02-26,19000,19210,19000,19210,609106,19210
326,2015-02-25,19040,19060,18960,19000,278318,19000
327,2015-02-24,18870,19010,18830,18990,467986,18990
328,2015-02-23,18890,18910,18800,18870,563551,18870
329,2015-02-20,18710,18760,18690,18720,516544,18720
330,2015-02-19,18620,18720,18620,18650,425594,18650
331,2015-02-18,18480,18600,18470,18580,520849,18580
332,2015-02-17,18330,18400,18280,18380,323122,18380
333,2015-02-16,18400,18460,18370,18390,489702,18390
334,2015-02-13,18290,18360,18250,18310,414289,18310
335,2015-02-12,18320,18390,18300,18350,1630161,18350
336,2015-02-10,18020,18060,17930,18040,396116,18040
337,2015-02-09,18170,18190,18040,18100,542282,18100
338,2015-02-06,18080,18100,17990,18010,381696,18010
